"FMS_Temp","CYCLE","Bottle","DateTime","CO2_Samp","CO2_Samp_stdv","O2_Samp","O2_Samp_stdv","FlowRate_Samp","FlowRate_Samp_stdv","CO2_BG","CO2_BG_stdv","O2_BG","O2_BG_stdv","FlowRate_BG","FlowRate_BG_stdv"
26.15,1,4,"2023-11-06 16:20:20",0.027938,6.94102137857086e-05,21.8201181818182,0.000165144564768308,46.8,0,0.059717,0.00018897677693892,20.95,0.00026967994498576,46.77,0.0483045891539621
26.2,1,5,"2023-11-06 16:28:50",0.025521,6.19049450546744e-05,21.8445181818181,0.000385337317792937,46.8,0,0.059249,0.000202399494948865,20.95,0.000269679944985839,46.74,0.0516397779494293
26.24,1,6,"2023-11-06 16:37:20",0.026247,7.54320886625841e-05,21.8551999999999,0.000421637021353303,46.79,0.031622776601682,0.058532,0.000144668202756821,20.95,4.26983044531917e-15,46.7,0
26.3,1,8,"2023-11-06 16:54:20",0.029127,0.000130643705465583,21.8442818181819,0.000662867965281678,46.8,0,0.0585,7.28773703635843e-05,20.95,0.000269679944985999,46.67,0.0483045891539655
26.34,1,9,"2023-11-06 17:02:50",0.02871,9.62635271879578e-05,21.8435454545455,0.000353910335047055,46.65,0.0527046276694737,0.05814,0.00014544949486181,20.95,0.000504524979107982,46.54,0.051639777949433
26.37,1,10,"2023-11-06 17:13:50",0.51029,0.000284604989415163,20.8467515151517,0.0002935903373698,46.73,0.0483045891539621,0.057996,0.000130571393838348,20.95,0.000302625992905272,46.62,0.042163702135579
26.43,2,1,"2023-11-06 17:54:59",0.006116,7.54541803569116e-05,21.8748575757576,0.000409072203088823,46.6,0,0.056833,0.00010698390325444,20.95,0.000482697247760381,46.6,0
26.44,2,2,"2023-11-06 18:03:29",0.025043,7.13442359269481e-05,21.8360000000001,2.368475785867e-15,46.6,0,0.056439,0.00011713714658942,20.95,2.368475785867e-15,46.5,0
26.45,2,3,"2023-11-06 18:11:59",0.025013,0.000106254411673116,21.8297909090909,0.000466016863613375,46.6,0,0.056087,8.27378725587953e-05,20.95,0.000291287632502493,46.5,0
26.46,2,4,"2023-11-06 18:20:29",0.036552,8.12130257751518e-05,21.7774,0.000516397779494953,46.6,0,0.055708,0.000142423468727751,20.95,0,46.52,0.042163702135579
26.47,2,5,"2023-11-06 18:28:59",0.032634,6.66999916708301e-05,21.8258000000001,0.000421637021358172,46.61,0.0316227766016842,0.055294,6.61983551323022e-05,20.95,2.368475785867e-15,46.5,0
26.47,2,6,"2023-11-06 18:37:29",0.033239,9.45691986501609e-05,21.8323878787879,0.000449466574975432,46.56,0.051639777949433,0.055071,0.00016515649144574,20.95,0.000302625992906901,46.51,0.0316227766016842
26.46,2,8,"2023-11-06 18:54:29",0.035499,9.71196284085878e-05,21.8141,0.000737864787372347,46.63,0.0483045891539655,0.054498,0.000114871909340602,20.95,0,46.58,0.042163702135579
